"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","f2:d9:3a:05:99:f4","02:00:54:55:61:66","ARP","42","Who has 192.168.42.5? Tell 192.168.42.129"
"2","0.000012","02:00:54:55:61:66","f2:d9:3a:05:99:f4","ARP","42","192.168.42.5 is at 02:00:54:55:61:66"
"3","3.127631","192.168.42.5","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"4","3.143780","192.168.42.5","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"5","4.135834","192.168.42.5","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"6","4.150580","192.168.42.5","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"7","5.106279","192.168.42.5","224.0.0.251","MDNS","83","Standard query 0x0000 PTR _sleep-proxy._udp.local, ""QM"" question"
"8","5.137130","192.168.42.5","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"9","5.152910","192.168.42.5","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"10","5.196622","178.33.36.247","192.168.42.5","TLSv1.2","93","Application Data"
"11","5.196673","178.33.36.247","192.168.42.5","TLSv1.2","78","Application Data"
"12","5.196683","192.168.42.5","178.33.36.247","TCP","54","50385  >  443 [ACK] Seq=1 Ack=64 Win=509 Len=0"
"13","5.196698","178.33.36.247","192.168.42.5","TCP","54","443  >  50385 [FIN, ACK] Seq=64 Ack=1 Win=133 Len=0"
"14","5.196705","192.168.42.5","178.33.36.247","TCP","54","50385  >  443 [ACK] Seq=1 Ack=65 Win=509 Len=0"
"15","5.196721","192.168.42.5","178.33.36.247","TCP","54","50385  >  443 [FIN, ACK] Seq=1 Ack=65 Win=509 Len=0"
"16","5.277121","178.33.36.247","192.168.42.5","TCP","54","443  >  50385 [ACK] Seq=65 Ack=2 Win=133 Len=0"
"17","6.151227","192.168.42.5","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"18","6.167185","192.168.42.5","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"19","6.630738","172.217.171.202","192.168.42.5","TLSv1.2","124","Application Data"
"20","6.673737","192.168.42.5","172.217.171.202","TCP","54","50368  >  443 [ACK] Seq=1 Ack=71 Win=512 Len=0"
